time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,mic,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,ground
1532471755.9676678,-0.78,-2.6,9.37,0.0,0.25,-0.1875,359.5,-4.625,15.625,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1532471755.9804366,-0.78,-2.6,9.37,0.0,0.25,-0.1875,359.5,-4.625,15.625,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1532471756.0032692,-0.81,-1.5,9.96,22.6875,14.25,-5.1875,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,right
1532471756.0272331,-0.82,-2.37,10.02,0.375,0.375,-0.25,358.875,-4.5625,11.6875,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,right
1532471756.051649,-0.8,-2.52,9.25,24.875,17.3125,-8.875,358.625,-7.875,11.75,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,right
1532471756.6729515,-2.61,-0.99,10.68,9.8125,9.5,0.4375,0.75,-14.0,4.875,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,right
1532471757.311864,-2.55,-1.04,9.22,-0.875,-0.375,-0.25,0.625,-14.25,5.875,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,right
1532471757.9473028,-2.47,-0.82,9.54,1.1875,1.4375,0.25,0.75,-14.75,5.125,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,right
1532471758.5853646,-2.51,-0.89,9.49,-0.3125,0.5625,-0.0625,0.75,-14.875,5.1875,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,right
1532471759.2288384,-2.53,-0.89,9.32,-0.1875,0.8125,-0.0625,0.75,-14.9375,5.1875,0.1,0.0,0.0,0.0,12.0,27.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,right
