time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471756,-0.8,-2.52,9.25,24.875,17.3125,-8.875,358.625,-7.875,11.75,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471757,-2.61,-0.99,10.68,9.8125,9.5,0.4375,0.75,-14,4.875,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,16,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471757,-2.55,-1.04,9.22,-0.875,-0.375,-0.25,0.625,-14.25,5.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471758,-2.47,-0.82,9.54,1.1875,1.4375,0.25,0.75,-14.75,5.125,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471759,-2.51,-0.89,9.49,-0.3125,0.5625,-0.0625,0.75,-14.875,5.1875,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,7,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471759,-2.53,-0.89,9.32,-0.1875,0.8125,-0.0625,0.75,-14.9375,5.1875,0,0,0,12,27,0,0,0,4,20,0,0,0,0,0,0,0,7,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471760,-2.58,-0.89,9.41,0.25,0.1875,0.0625,0.75,-15,5.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471761,-2.52,-0.77,9.51,0.5,-0.0625,-0.5625,0.8125,-14.5,4.25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471761,-3.11,-1.5,9,-2.4375,7.9375,-2.75,1.5,-16.5625,8.1875,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,20,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471762,-2.92,-1.28,9.48,2.6875,1.875,0.25,1.625,-16.8125,6.75,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471762,-2.85,-1.32,8.9,-0.6875,-1.375,-0.1875,1.5625,-15.9375,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471763,-2.55,-1.4,9.21,-4.3125,1.125,0.0625,1.5,-14.3125,8.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471764,-2.36,-1.64,9.23,0.8125,-1.8125,-0.125,1.25,-13.875,9.8125,0,0,0,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471764,-2.89,-1.23,9.16,0.125,-2.3125,-0.25,1.1875,-16.375,7.1875,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,15,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471765,-2.97,-1.06,9.26,-1.25,1.125,0.125,1.3125,-17.25,5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471766,-3.12,-1.04,9.21,0.25,-0.1875,0,1.3125,-17.75,5.875,0,0,16,1,0,0,0,0,0,6,0,0,0,0,0,0,0,32,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471767,-2.98,-1.2,9.31,1.1875,1.625,-0.0625,1.5,-17.375,6.9375,0,2,0,0,15,0,19,29,0,39,0,0,5,0,0,0,0,0,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471768,-2.84,-1.08,9.34,0.5,1.0625,0.125,1.5625,-15.9375,6.5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471769,-2.74,-1.09,9.32,2.6875,2.4375,-1.6875,1.875,-16.0625,6.375,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,23,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471769,-3.16,-1.75,8.78,3.3125,0.6875,-0.6875,2.1875,-16.625,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471770,-2.92,-1.38,9.2,3.1875,1.375,0.25,2.0625,-16,8,0,0,0,21,14,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532471771,-2.8,-1.24,9.18,0.8125,-1.25,-0.0625,2.0625,-15.875,7.4375,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
