time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,ground
1533758117,-3.05,-1.82,9.39,0.375,-0.25,0.25,0.875,-17.625,11.5,0,19,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,8,0,0,right
1533758117,-2.9,-1.89,9.14,0.875,0.1875,-0.25,0.6875,-17.5625,12.1875,0,23,0,0,0,0,29,0,0,9,0,0,0,0,0,0,0,6,0,0,right
1533758118,-2.23,-1.89,9.45,-4,1.9375,0.125,0.5,-13.5625,15.1875,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,7,0,0,right
1533758118,-3.32,-2.17,8.96,-1,-0.75,1.4375,1.9375,-19,12.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,right
1533758119,-3.39,-1.55,9.13,4,1.5625,-0.3125,1.8125,-19.875,11.5,0,0,0,0,0,0,0,22,20,22,0,0,14,0,29,0,7,11,0,0,right
1533758119,-3.3,-1.84,9.01,-0.5625,-0.5625,-0.0625,1.8125,-20,11.625,0,0,0,0,0,0,0,0,0,10,0,0,0,0,13,0,0,7,0,0,right
1533758120,-3.33,-1.82,9.02,0.1875,0.4375,-0.125,1.75,-20,11.6875,0,1,0,0,0,0,0,0,16,0,0,8,0,0,15,0,0,6,0,0,right
1533758121,-3.29,-1.82,8.97,-0.1875,-0.0625,-0.0625,1.75,-20,11.6875,0,1,0,0,0,0,0,0,0,13,0,0,0,0,14,0,0,8,0,0,right
1533758121,-3.35,-1.87,8.95,0.1875,-0.1875,0.125,1.75,-20,11.6875,0,0,0,0,0,0,0,0,0,12,0,0,0,0,15,0,0,0,0,0,right
1533758122,-3.3,-1.85,8.99,0.25,-0.1875,-0.1875,1.75,-20,11.6875,0,0,0,0,0,0,0,0,0,12,0,0,0,0,15,0,0,7,0,0,right
1533758123,-3.32,-1.81,9.01,0.0625,0.125,-0.0625,1.75,-20,11.6875,0,0,0,5,0,0,0,17,7,18,0,0,0,0,25,0,0,8,0,0,right
1533758123,-3.29,-1.79,8.9,0.125,0.0625,-0.0625,1.75,-20,11.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,right
1533758124,-3.32,-1.86,8.9,-0.125,-0.1875,0.125,1.75,-20,11.6875,0,4,0,0,0,0,14,19,7,17,0,0,0,0,18,0,0,6,0,0,right
1533758125,-3.28,-1.84,8.99,0.1875,-0.25,0.125,1.75,-20,11.75,0,0,0,0,0,0,0,4,10,12,0,0,0,0,15,0,0,9,0,0,right
1533758125,-3.31,-1.83,9,0.125,-0.0625,0,1.75,-20,11.75,0,0,0,0,0,0,0,14,0,14,0,0,0,0,14,0,0,8,0,0,right
1533758126,-3.31,-1.84,9.03,-0.25,-0.0625,-0.0625,1.75,-20,11.75,0,0,0,0,0,0,13,17,0,0,0,0,13,0,30,0,0,0,8,0,right
1533758127,-3.32,-1.83,8.99,0.125,-0.1875,0.125,1.75,-20,11.75,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0,7,0,0,right
1533758127,-3.28,-1.86,8.95,0.0625,0.25,0,1.75,-20,11.8125,0,0,0,0,0,0,7,0,18,18,0,0,0,0,16,0,0,7,0,0,right
1533758128,-3.29,-1.88,9.04,0.375,-0.1875,0.0625,1.75,-20,11.8125,0,0,0,0,0,0,0,11,0,15,0,0,0,0,17,0,0,7,0,0,right
1533758128,-3.28,-1.85,9.02,0.125,-0.3125,0.0625,1.75,-20,11.8125,0,0,0,0,0,0,0,14,0,14,0,12,0,0,0,0,0,0,0,0,right
1533758129,-3.27,-1.82,9.02,-0.25,0.125,0.0625,1.75,-20,11.8125,0,0,0,0,0,0,0,16,0,15,0,13,11,0,16,0,0,15,0,0,right
1533758130,-3.3,-1.86,8.94,-0.125,0.125,-0.0625,1.75,-20,11.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right
1533758130,-3.29,-1.84,8.96,0.0625,-0.25,-0.0625,1.75,-20,11.8125,0,0,0,0,0,0,28,17,0,14,0,13,0,0,17,0,0,8,0,0,right
1533758131,-3.29,-1.87,9.01,0.25,-0.1875,0,1.75,-20,11.8125,0,0,0,0,0,0,22,0,0,0,5,13,0,0,15,0,0,9,0,0,right
1533758132,-3.28,-1.84,9,-0.125,0.0625,0,1.75,-20,11.8125,0,0,0,0,0,0,0,16,0,17,0,10,0,0,15,0,0,9,0,0,right
1533758132,-3.34,-1.87,8.99,0,-0.125,0,1.75,-20,11.8125,0,0,0,0,0,0,0,15,0,17,0,11,16,0,23,12,0,15,0,0,right
1533758133,-3.27,-1.82,8.92,-0.0625,-0.1875,-0.0625,1.75,-20,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right
1533758134,-3.28,-1.81,8.95,0.125,0.125,0.125,1.75,-20,11.75,0,0,0,0,0,0,10,15,0,24,0,17,20,0,23,0,0,29,0,9,right
1533758134,-3.29,-1.84,9.13,-0.0625,0.0625,0.1875,1.75,-20,11.75,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,right
1533758135,-3.29,-1.86,9.01,0.5625,0,-0.125,1.75,-20,11.75,0,2,0,0,0,0,18,17,0,19,0,0,0,0,16,0,0,7,0,0,right
1533758136,-3.28,-1.82,9.02,-0.375,0,0.25,1.75,-20,11.75,0,0,0,0,0,0,12,16,0,17,0,13,0,0,16,0,0,10,9,0,right
