time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,mic,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,ground
1531360838.5088441,-9.47,1.3,-1.37,0.0,0.1875,-0.0625,3.8125,-79.625,-135.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,right
1531360838.5381618,-10.56,0.79,-0.81,-6.0625,-30.3125,-40.1875,5.625,-82.1875,-136.9375,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360838.5659344,-10.03,0.01,-0.4,1.6875,4.0625,20.125,9.1875,-86.625,-178.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360838.5777133,-8.92,1.2,-0.29,9.25,-17.6875,10.5625,4.625,-82.0625,-104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,right
1531360838.5886106,-8.91,0.04,0.0,-29.125,18.375,-93.375,11.0,-89.75,-0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360838.5995865,-10.29,-0.71,1.08,19.0,-28.1875,59.8125,11.875,-87.5625,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360839.2323184,-9.74,1.17,0.02,-1.4375,2.4375,-5.3125,4.9375,-83.5625,-173.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360839.8799627,-9.58,1.29,-0.69,-1.25,4.625,5.8125,3.8125,-82.25,-121.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360840.5224264,-9.6,1.15,-0.58,0.4375,0.25,-0.75,3.5,-82.1875,-114.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360841.1737256,-9.63,1.25,-0.67,0.0625,0.0625,-0.5,3.5,-82.0625,-116.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360841.81761,-9.65,1.25,-0.67,0.0,0.125,0.1875,3.5,-82.0625,-116.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,right
1531360842.4598668,-9.64,1.29,-0.56,0.0,-0.3125,0.25,3.5,-82.0625,-116.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360843.1074867,-9.58,1.3,-0.55,-0.125,0.25,0.1875,3.5,-82.0625,-116.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360843.7550347,-9.66,1.31,-0.52,0.0625,-0.6875,-0.9375,3.5625,-82.125,-115.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360844.401089,-9.63,1.29,-0.45,-0.1875,0.125,-0.0625,3.75,-82.5,-112.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360845.048812,-9.62,1.3,-0.51,0.0625,-0.0625,0.125,3.75,-82.5,-113.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360845.699938,-9.62,1.29,-0.51,-0.1875,-0.1875,-0.0625,3.75,-82.4375,-114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360846.3474872,-9.64,1.31,-0.58,-0.125,-0.125,0.125,3.75,-82.4375,-114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360846.993542,-9.6,1.35,-0.59,0.125,-0.0625,-0.1875,3.75,-82.4375,-114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360847.6410484,-9.62,1.34,-0.49,-0.0625,0.3125,0.0,3.75,-82.4375,-114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360848.2885017,-9.61,1.3,-0.49,-0.0625,-0.1875,-0.0625,3.75,-82.4375,-114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360848.9392061,-9.63,1.27,-0.51,0.0,0.0,0.125,3.6875,-82.4375,-114.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360849.5869749,-9.63,1.32,-0.52,0.125,-0.1875,-0.1875,3.6875,-82.4375,-114.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360850.2332056,-9.63,1.31,-0.54,0.125,0.0,0.1875,3.6875,-82.4375,-114.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360850.880651,-9.63,1.29,-0.58,-0.0625,0.1875,-0.0625,3.6875,-82.4375,-114.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360851.5319073,-9.63,1.3,-0.61,-0.125,-0.1875,-0.0625,3.6875,-82.4375,-114.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360852.1793025,-9.64,1.31,-0.58,0.25,0.0625,-0.0625,3.6875,-82.4375,-114.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360852.8304775,-9.62,1.26,-0.64,0.0625,-0.3125,0.25,3.6875,-82.4375,-114.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1531360853.4742641,-9.62,1.33,-0.66,-0.0625,0.125,-0.1875,3.625,-82.3125,-114.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
