time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,mic,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,ground
1531863381.6657946,8.0,6.0,7.0,21.0,0.0,0.0,0.0,12.0,17.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,14.0,0.0,1.0,right
1531863381.6785386,5.52,5.24,6.15,-0.5,0.3125,0.3125,356.0625,34.375,-39.75,0.06,0.0,8.0,6.0,7.0,21.0,0.0,0.0,0.0,12.0,17.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,14.0,0.0,1.0,right
1531863381.702854,5.52,5.19,6.17,-0.5,-0.125,0.3125,356.125,34.4375,-39.6875,0.06,0.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,4.0,0.0,5.0,5.0,4.0,0.0,10.0,0.0,1.0,right
1531863381.7270987,5.54,5.24,6.22,-0.4375,-0.9375,0.4375,356.125,34.4375,-39.75,0.06,0.0,7.0,10.0,0.0,0.0,3.0,2.0,0.0,11.0,37.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,8.0,0.0,0.0,right
1531863381.7510662,5.53,5.19,6.06,-0.1875,-0.5625,0.1875,356.1875,34.8125,-39.875,0.06,0.0,9.0,1.0,5.0,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,right
1531863381.7624483,5.44,5.22,6.1,-0.375,2.25,-0.6875,356.0,34.625,-39.9375,0.07,0.0,9.0,1.0,6.0,6.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,0.0,2.0,right
1531863381.859415,5.91,5.2,6.07,3.0625,-1.625,-0.125,355.4375,35.5625,-40.6875,0.06,0.0,6.0,6.0,0.0,0.0,7.0,0.0,1.0,6.0,8.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,0.0,0.0,right
1531863382.5021722,6.22,5.26,5.85,-0.9375,-5.5,3.0625,355.9375,37.5625,-41.0,0.07,0.0,10.0,0.0,10.0,25.0,0.0,0.0,0.0,2.0,12.0,2.0,0.0,0.0,0.0,27.0,0.0,0.0,9.0,0.0,0.0,right
1531863383.1367784,5.82,4.82,6.16,0.125,-1.75,0.1875,355.9375,38.0,-40.25,0.06,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,right
1531863383.783964,6.06,5.3,5.79,-2.25,-1.625,2.5625,356.0625,37.4375,-41.0625,0.06,0.0,6.0,1.0,9.0,40.0,8.0,5.0,2.0,24.0,21.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,right
1531863384.422891,5.9,5.22,5.63,0.3125,-0.875,0.0,356.125,37.5625,-41.25,0.06,0.0,14.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,right
1531863385.070075,6.02,5.23,5.95,0.5,-0.8125,-0.4375,356.25,37.5625,-41.75,0.06,0.0,9.0,0.0,10.0,28.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,right
1531863385.7176154,6.0,5.27,5.71,-0.125,-0.125,0.4375,356.3125,37.6875,-42.0,0.06,0.0,8.0,0.0,19.0,45.0,2.0,2.0,0.0,13.0,25.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,7.0,6.0,4.0,right
1531863386.356388,6.19,5.18,5.7,-0.125,-0.75,0.5625,356.3125,38.5,-41.75,0.06,0.0,11.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,1.0,right
1531863386.9995363,6.12,5.11,5.64,-1.25,0.6875,1.1875,356.25,38.5625,-41.5625,0.06,0.0,8.0,0.0,7.0,33.0,1.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,5.0,8.0,0.0,0.0,6.0,0.0,1.0,right
1531863387.6429417,6.05,5.13,5.78,-0.125,0.125,0.0,356.125,38.125,-41.3125,0.06,0.0,11.0,0.0,2.0,13.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,right
1531863388.2857866,6.06,5.12,5.84,0.1875,-0.0625,0.125,356.125,38.125,-41.3125,0.06,0.0,9.0,0.0,7.0,21.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,8.0,0.0,0.0,right
1531863388.928041,6.08,5.15,5.81,-0.0625,0.1875,0.0625,356.125,38.125,-41.3125,0.06,0.0,9.0,0.0,8.0,33.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,9.0,1.0,5.0,right
1531863389.5718062,6.06,5.15,5.79,-0.0625,-0.0625,0.0625,356.125,38.125,-41.3125,0.06,0.0,9.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,4.0,0.0,2.0,right
1531863390.2190583,6.06,5.13,5.72,-0.0625,-0.1875,0.0,356.125,38.125,-41.3125,0.06,0.0,10.0,1.0,5.0,34.0,5.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,8.0,0.0,1.0,right
1531863390.8615563,6.09,5.16,5.84,0.125,0.0625,-0.0625,356.125,38.125,-41.3125,0.06,0.0,11.0,0.0,12.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0,0.0,1.0,right
1531863391.5003605,6.04,5.12,5.83,-0.125,0.125,0.125,356.125,38.125,-41.3125,0.06,0.0,10.0,0.0,6.0,48.0,5.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,0.0,1.0,right
1531863392.147691,6.03,5.14,5.86,0.125,-0.125,-0.125,356.125,38.125,-41.3125,0.06,0.0,10.0,0.0,7.0,43.0,0.0,1.0,0.0,7.0,10.0,0.0,0.0,0.0,17.0,9.0,0.0,0.0,8.0,0.0,5.0,right
