time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,mic,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,ground
1531852405,2.81,5.9,7.3,-0.875,1.1875,0.1875,358.625,16.4375,-39.5,0.04,0,12,15,43,26,2,0,138,72,67,3,0,23,116,83,5,0,7,3,1,right
1531852405,2.89,5.95,7.35,0.4375,0,0,358.625,16.5,-39.4375,0.04,0,9,3,43,45,2,1,171,83,72,4,0,25,122,86,3,0,8,1,2,right
1531852405,2.82,5.93,7.32,-0.125,0.125,-0.125,358.625,16.5,-39.4375,0.05,0,10,15,50,30,1,4,172,82,84,2,0,26,135,97,4,0,8,0,5,right
1531852405,2.84,5.95,7.36,0.0625,0,0.0625,358.625,16.5,-39.4375,0.05,0,10,14,53,30,0,1,168,84,88,4,0,25,125,121,3,0,9,0,2,right
1531852405,2.82,5.93,7.36,-0.0625,0.125,0.0625,358.625,16.4375,-39.375,0.05,0,11,20,50,32,1,1,136,75,77,0,0,16,129,116,4,0,10,0,1,right
1531852406,2.83,5.96,7.4,0,0.125,-0.125,358.625,16.4375,-39.375,0.05,0,9,24,51,32,0,8,174,93,86,1,1,28,152,106,8,0,8,0,1,right
1531852406,2.81,5.95,7.37,0.1875,-0.125,0.0625,358.625,16.4375,-39.375,0.04,0,10,18,53,35,2,1,166,87,84,5,0,32,147,105,4,0,8,0,2,right
1531852407,2.78,5.97,7.37,0.1875,-0.1875,0.0625,358.625,16.4375,-39.375,0.04,0,15,17,53,35,2,0,171,90,92,3,0,32,158,108,8,0,4,6,3,right
1531852408,2.82,6.01,7.34,-0.125,-0.125,0.1875,358.625,16.4375,-39.375,0.05,0,11,17,55,35,1,1,170,91,88,5,0,34,154,108,4,0,8,0,2,right
1531852408,2.78,5.95,7.26,0,-0.375,0.1875,358.625,16.4375,-39.375,0.05,0,10,18,55,33,0,0,178,92,96,5,0,31,165,119,4,0,13,3,5,right
1531852409,2.81,5.95,7.27,-0.0625,-0.3125,0.1875,358.625,16.4375,-39.375,0.05,0,8,16,60,56,0,0,171,94,89,5,0,34,158,111,4,0,9,0,2,right
1531852410,2.8,5.96,7.35,0.0625,0.125,-0.125,358.625,16.4375,-39.375,0.05,0,10,19,55,57,2,6,162,121,119,4,0,39,169,114,2,0,9,5,2,right
1531852410,2.81,5.99,7.26,-0.1875,-0.375,0.3125,358.625,16.4375,-39.375,0.04,0,9,19,60,36,2,1,181,103,102,10,0,36,168,121,5,0,9,0,2,right
1531852411,2.78,5.98,7.31,0.0625,-0.1875,0.1875,358.625,16.4375,-39.375,0.04,0,9,21,59,33,2,0,173,92,93,4,0,30,158,100,5,0,8,0,1,right
1531852412,2.83,5.95,7.38,-0.0625,0.1875,-0.125,358.625,16.4375,-39.375,0.05,0,10,19,58,45,3,7,218,105,105,5,0,51,178,125,4,0,9,1,2,right
1531852412,2.77,5.98,7.38,-0.1875,0.125,-0.0625,358.625,16.4375,-39.4375,0.05,0,10,23,49,35,2,2,185,91,97,5,0,45,162,104,6,0,4,0,3,right
1531852413,2.76,5.96,7.35,0.1875,0.125,-0.125,358.625,16.1875,-39.375,0.05,0,8,17,79,41,2,0,172,107,98,6,0,41,177,148,2,0,6,1,4,right
1531852414,2.77,5.96,7.31,-0.125,0.125,-0.1875,358.625,16.1875,-39.375,0.05,0,9,20,56,42,4,6,163,91,96,5,0,40,173,123,5,0,8,0,2,right
1531852414,2.76,5.99,7.28,0,0.5,-0.0625,358.625,16.25,-39.4375,0.05,0,11,17,76,39,3,2,189,101,99,5,5,42,186,132,5,0,8,1,0,right
1531852415,2.77,5.99,7.25,-0.125,-0.25,0.1875,358.625,16.25,-39.4375,0.05,0,6,21,66,39,1,2,187,101,99,5,0,39,175,126,5,0,8,0,3,right
1531852415,2.75,5.98,7.28,0,0,-0.0625,358.625,16.25,-39.4375,0.05,0,9,22,63,41,2,1,188,100,99,5,0,41,175,126,5,0,8,0,3,right
1531852416,2.78,6.01,7.31,0,0.375,-0.25,358.625,16.25,-39.4375,0.05,0,10,21,64,38,1,2,192,102,101,6,0,41,179,129,5,0,7,0,10,right
1531852417,2.77,6,7.38,-0.1875,-0.125,0.25,358.625,16.25,-39.4375,0.05,0,12,17,60,39,1,1,167,100,100,6,1,42,170,123,6,0,9,1,2,right
1531852417,2.75,6,7.31,-0.0625,0.0625,-0.125,358.625,16.25,-39.4375,0.05,0,10,22,63,38,2,0,190,103,103,6,0,43,181,129,5,0,8,0,2,right
1531852418,2.77,5.99,7.29,-0.0625,-0.1875,0.0625,358.625,16.25,-39.4375,0.05,0,11,24,71,36,0,0,197,110,110,8,0,39,190,132,4,0,9,0,0,right
1531852419,2.75,6,7.27,0,0.0625,-0.1875,358.625,16.25,-39.4375,0.05,0,10,21,64,39,1,2,193,102,102,6,0,43,182,131,5,0,9,0,2,right
1531852419,2.78,5.99,7.32,0.3125,-0.0625,-0.125,358.625,16.25,-39.4375,0.04,0,5,22,43,45,2,0,199,108,99,7,1,35,168,136,5,0,8,0,3,right
1531852420,2.75,6,7.33,0.0625,-0.1875,0,358.625,16.25,-39.4375,0.05,0,10,18,82,40,0,2,204,106,131,2,0,39,195,125,7,0,6,0,4,right
1531852421,2.76,6.01,7.35,-0.125,0.0625,0.125,358.625,16.25,-39.4375,0.05,0,11,19,52,40,0,0,196,109,100,5,0,51,187,118,3,0,9,3,1,right
1531852421,2.74,5.98,7.34,0.1875,-0.25,0.0625,358.625,16.25,-39.4375,0.05,0,10,21,61,42,1,3,189,103,101,5,0,45,180,116,5,0,6,1,0,right
1531852422,2.76,5.99,7.39,-0.0625,-0.0625,0.125,358.625,16.25,-39.4375,0.05,0,14,23,63,40,1,1,195,106,105,5,0,45,187,137,5,0,8,0,2,right
1531852423,2.74,5.99,7.24,-0.125,-0.0625,0.125,358.625,16.25,-39.4375,0.05,0,14,19,71,32,4,4,196,115,93,8,0,42,174,164,5,0,8,0,2,right
1531852423,2.76,6.01,7.27,0.1875,-0.125,0.0625,358.625,16.25,-39.4375,0.05,0,10,22,62,40,2,1,197,106,106,4,0,43,189,138,6,0,8,0,3,right
1531852424,2.72,5.99,7.32,-0.125,0,0.1875,358.625,16.25,-39.4375,0.05,0,10,20,57,39,3,3,191,103,121,3,0,34,189,128,4,0,9,0,11,right
1531852425,2.78,6.05,7.38,0.125,0.1875,0,358.625,16.25,-39.4375,0.05,0,10,20,66,40,1,1,195,105,106,4,0,45,195,141,5,0,8,0,2,right
1531852429,2.7,5.98,7.35,0.125,0,0.0625,358.625,16.25,-39.4375,0.05,0,15,35,49,40,6,0,203,133,106,4,5,45,181,141,6,0,9,1,2,back
