time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,mic,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,ground
1543556362.8504071,-0.75,2.45,-9.48,3.875,1.5625,1.375,116.0625,-6.9375,-167.5625,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1543556363.4963925,-0.22,0.16,-9.75,8.3125,-2.5,0.3125,116.125,-1.125,-179.1875,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1543556364.1442406,-1.29,1.47,-9.58,-12.0,-7.75,-1.0625,115.9375,-7.6875,-171.3125,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1543556364.787914,-1.41,2.11,-9.38,0.9375,0.375,0.3125,115.8125,-8.625,-166.75,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1543556365.426133,-1.39,2.2,-9.39,0.3125,0.375,-0.0625,115.8125,-8.5625,-166.875,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1543556366.0731854,-1.46,2.25,-9.37,-0.9375,0.3125,0.3125,116.1875,-8.9375,-166.125,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1543556366.7167668,-1.44,2.24,-9.33,-1.75,0.4375,-0.25,116.3125,-8.9375,-166.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1543556367.3553514,-1.47,2.26,-9.35,-0.3125,0.0,0.1875,116.3125,-8.9375,-166.0625,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1543556367.998891,-1.42,2.25,-9.34,0.0625,-0.0625,0.0,116.3125,-8.9375,-166.0625,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1543556368.6449847,-1.41,2.28,-9.35,-0.25,0.1875,0.0625,116.3125,-8.9375,-165.9375,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
