time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,mic,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,ground
1543094768.6433933,-0.78,-1.4,-9.73,0.125,-0.8125,0.125,222.0625,-4.625,171.75,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1543094769.2902844,-0.72,-1.55,-9.7,7.8125,2.5625,-1.625,222.0,-4.8125,170.9375,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1543094769.9334846,-0.17,-1.5,-9.65,-1.9375,2.75,-0.5625,221.0,-0.5,170.9375,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1543094770.5852132,-0.14,-1.57,-9.71,-0.1875,0.0625,-0.125,221.0,-1.125,170.75,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1543094771.224278,-0.18,-1.59,-9.71,0.1875,-1.8125,0.3125,220.9375,-1.3125,170.625,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1543094777.7078197,0.0,222.1875,-10.5,-172.625,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,back
1543094778.3580866,-1.64,1.19,-9.49,0.0,-0.375,-0.25,222.1875,-10.4375,-172.5625,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,back
1543094779.0094771,-1.69,1.13,-9.44,-0.25,-0.3125,-0.125,222.1875,-10.5,-172.5625,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,back
1543094779.6572852,-1.52,1.17,-9.5,2.4375,0.125,0.0,222.125,-10.3125,-172.375,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,back
1543094780.3077242,-1.69,1.07,-9.54,-1.375,-1.5,0.125,222.0,-10.125,-173.0625,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,back
