accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
-1.54,0.11,-9.72,-0.0625,-0.25,0,7.8125,-9.0625,-179.3125,-1
-1.56,0.11,-9.79,0,0.0625,0.0625,7.8125,-9.0625,-179.3125,-1
-1.56,0.08,-9.7,-0.25,0.0625,0.0625,7.8125,-9.0625,-179.3125,-1
-1.56,0.1,-9.76,0.0625,0.125,-0.125,7.8125,-9.0625,-179.3125,-1
-1.54,0.09,-9.69,0.125,-0.0625,0.0625,7.8125,-9.0625,-179.3125,-1
-1.55,0.11,-9.75,0.125,0,-0.0625,7.8125,-9.0625,-179.3125,-1
-1.53,0.11,-9.74,-0.125,0.125,0,7.8125,-9.0625,-179.3125,-1
-1.54,0.11,-9.71,0.0625,-0.25,0.125,7.8125,-9.0625,-179.3125,-1
-2.46,0.77,-9.67,-9.75,-21.0625,2.6875,7.9375,-12.5625,-178.625,-1
-1.94,-1.08,-8.81,3.5,-2.75,0,7.875,-10.8125,178.375,-1
-1.71,-0.04,-9.58,-8.4375,4.3125,3.5,7.5625,-10.0625,179,-1
-1.77,0.38,-10.85,-6.75,-1.375,2.875,7.25,-9.0625,179.8125,-1
-1.67,-0.34,-9.72,-1.9375,1.625,0.125,7.9375,-9.75,178.1875,-1
-1.78,-0.38,-9.51,0.1875,-1.375,0.5625,8.0625,-10.0625,178.125,-1
-1.71,-0.13,-9.73,-1,-0.25,-0.25,8.0625,-10.125,178.625,-1
-1.75,-0.21,-9.63,0.0625,-0.0625,-0.125,8.0625,-10.125,178.625,-1
-1.76,-0.18,-9.72,0,0.125,0,8.0625,-10.125,178.625,-1
-1.75,-0.24,-9.68,0.25,0.25,-0.125,8.0625,-10.125,178.625,-1
-1.68,-0.24,-9.63,-0.5625,-0.3125,0.3125,8.0625,-9.75,178.6875,-1
-1.68,-0.22,-9.67,0.125,-0.125,0,8.0625,-9.75,178.6875,-1
-1.69,-0.22,-9.63,0.0625,-0.125,-0.0625,8.0625,-9.75,178.6875,-1
-1.7,-0.19,-9.66,0.0625,-0.0625,0,8.0625,-9.75,178.6875,-1
-1.7,-0.23,-9.74,-0.125,0,0.125,8.0625,-9.75,178.6875,-1
-1.69,-0.18,-9.64,0.0625,-0.125,-0.0625,8.0625,-9.75,178.6875,-1
-1.71,-0.21,-9.7,-0.0625,-0.125,0.0625,8.0625,-9.75,178.6875,-1
-1.71,-0.19,-9.75,0,0,-0.0625,8.0625,-9.75,178.6875,-1
-1.72,-0.22,-9.63,0,0.1875,0,8.0625,-9.75,178.6875,-1
-1.69,-0.22,-9.72,-0.1875,-0.0625,-0.0625,8.0625,-9.75,178.6875,-1
-1.71,-0.24,-9.65,-0.25,-0.0625,0.0625,8.0625,-9.75,178.6875,-1
-1.71,-0.22,-9.69,0,0.3125,-0.0625,8.0625,-9.75,178.6875,-1
-1.69,-0.22,-9.71,0.0625,0,0,8.0625,-9.75,178.6875,-1
-1.73,-0.19,-9.64,0,-0.0625,-0.0625,8.0625,-9.75,178.6875,-1
-1.71,-0.22,-9.66,0.125,-0.0625,0,8.0625,-9.75,178.6875,-1
-1.72,-0.23,-9.75,-0.0625,0.0625,0,8.0625,-9.75,178.6875,-1
-1.71,-0.2,-9.63,0.25,0.1875,-0.125,8.0625,-9.75,178.6875,-1
-1.72,-0.24,-9.72,0.25,0.125,0.125,8.0625,-9.75,178.6875,-1
-1.7,-0.22,-9.7,-0.0625,-0.1875,0,8.0625,-9.75,178.6875,-1
-1.73,-0.22,-9.65,0.1875,-0.125,-0.0625,8.0625,-9.75,178.6875,-1
-1.73,-0.21,-9.69,-0.1875,0.0625,-0.125,8.0625,-9.75,178.6875,-1
-1.71,-0.21,-9.63,-0.0625,-0.0625,-0.1875,8.0625,-9.75,178.6875,-1
-1.72,-0.21,-9.63,-0.5,0.125,-0.125,8.0625,-9.75,178.6875,-1
