accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
1.03,1.05,-9.82,-0.25,0,0.0625,271.5625,6.125,-173.9375,-1
1.04,1.04,-9.75,0.3125,-0.25,0.0625,271.5625,6.125,-173.9375,-1
1.04,1.06,-9.84,-0.0625,0,-0.125,271.5625,6.125,-173.9375,-1
1.03,1.03,-9.76,0,0.125,0,271.5625,6.125,-173.9375,-1
1.03,1.02,-9.74,0.1875,0.4375,0.125,271.5625,6.125,-173.9375,-1
0.99,1.12,-9.74,0.875,-0.4375,-0.0625,271.5625,6.0625,-173.875,-1
1.05,1.08,-9.81,0,-1.4375,-0.0625,271.5625,6.0625,-173.9375,-1
1.03,1.04,-9.81,-0.125,-0.125,0.0625,271.5625,6.0625,-174,-1
1.01,1.04,-9.77,-0.0625,-0.0625,0,271.5625,6.0625,-174,-1
1.04,1.02,-9.86,-0.0625,0,0.0625,271.5625,6.0625,-174,-1
1.05,1.02,-9.73,-0.0625,0.0625,-0.0625,271.5625,6.0625,-174,-1
1.04,1.03,-9.77,0.1875,-0.125,-0.0625,271.5625,6.0625,-174,-1
1.04,1.02,-9.75,-0.125,0.3125,-0.125,271.5625,6.0625,-174,-1
1.03,1.05,-9.75,-0.0625,-0.25,0,271.5625,6.0625,-174,-1
1.03,1.04,-9.77,0,0.125,-0.0625,271.5625,6.0625,-174,-1
1.04,1.02,-9.73,-0.0625,0,-0.0625,271.5625,6.0625,-174,-1
1.04,1.05,-9.75,0.0625,0.125,0,271.5625,6.0625,-174,-1
1.04,1.06,-9.84,0.1875,0.0625,0,271.5625,6.0625,-174,-1
1.03,1.03,-9.73,-0.0625,0.125,0,271.5625,6.0625,-174,-1
1.04,1.03,-9.8,-0.0625,-0.0625,0.0625,271.5625,6.0625,-174,-1
1.04,1.07,-9.85,0,0,0,271.5625,6.0625,-174,-1
1.03,1.06,-9.75,0.0625,-0.125,-0.125,271.5625,6.0625,-174,-1
1.01,1.05,-9.78,0.125,0.0625,0,271.5625,6.0625,-174,-1
1.02,1.05,-9.74,-0.0625,0,0,271.5625,6.0625,-174,-1
1.03,1.02,-9.73,-0.0625,-0.0625,0,271.5625,6.0625,-174,-1
1.02,1,-9.84,-0.0625,0.0625,0,271.5625,6.0625,-174,-1
1.03,1.05,-9.74,0.0625,-0.0625,0,271.5625,6.0625,-174,-1
1.02,1,-9.84,-0.0625,-0.125,0.0625,271.5625,6.0625,-174,-1
1.02,1.03,-9.87,-0.0625,-0.125,0.0625,271.5625,6.0625,-174,-1
1.03,1.07,-9.74,-0.125,-0.0625,0,271.5625,6.0625,-174,-1
1.03,1.03,-9.76,-0.0625,-0.25,0,271.5625,6.0625,-174,-1
1.01,1.03,-9.86,0.25,-0.0625,0.0625,271.5625,6.0625,-174,-1
1.04,1.07,-9.77,-0.0625,-0.0625,0.0625,271.5625,6.0625,-174,-1
1.01,1.05,-9.79,0,0,-0.0625,271.5625,6.0625,-174,-1
1.04,1.04,-9.75,-0.0625,-0.0625,-0.0625,271.5625,6.0625,-174,-1
1.05,1.05,-9.74,-0.0625,0.125,0,271.5625,6.0625,-174,-1
1.04,1.01,-9.83,0,0.0625,-0.125,271.5625,6.0625,-174,-1
1.04,1.03,-9.74,-0.125,0,0,271.5625,6.0625,-174,-1
1.01,1.03,-9.75,-0.125,-0.125,0,271.5625,6.0625,-174,-1
1.03,1.04,-9.81,-0.0625,0.0625,0,271.5625,6.0625,-174,-1
1.03,1.04,-9.8,0,0,-0.0625,271.5625,6.0625,-174,-1
1.01,1.04,-9.74,0.0625,0.0625,0.0625,271.5625,6.0625,-174,-1
1.01,1.04,-9.83,0.0625,-0.0625,-0.0625,271.5625,6.0625,-174,-1
1.02,1.03,-9.75,0.125,-0.0625,-0.0625,271.5625,6.0625,-174,-1
1,1.02,-9.73,0,0.0625,0.0625,271.5625,6.0625,-174,-1
1.02,1.04,-9.86,-0.0625,-0.125,0,271.5625,6.0625,-174,-1
1.04,1.04,-9.73,0.125,0.125,0,271.5625,6.0625,-174,-1
1.02,1.05,-9.78,-0.125,0.125,0.0625,271.5625,6.0625,-174,-1
1.03,1.02,-9.79,0.125,0.0625,0.0625,271.5625,6.0625,-174,-1
1.04,1.03,-9.76,0.125,-0.0625,0,271.5625,6.0625,-174,-1
1.01,1.04,-9.82,0.0625,0.125,-0.25,271.5625,6.0625,-174,-1
1.08,1.06,-9.79,-1,1.75,0.1875,271.5625,6.125,-173.9375,-1
1.27,1.28,-9.87,-0.8125,-0.5,-0.5,271.5625,8,-173.0625,-1
0.93,0.45,-9.4,-0.875,-4.875,-2.75,271,5.375,-174.25,-1
1.03,1.7,-9.73,-6.3125,17.25,3.8125,271.0625,6.1875,-173.3125,-1
0.92,0.92,-9.31,4.0625,5.0625,1.4375,271.625,5.875,-174.1875,-1
1.06,1.05,-9.72,1.8125,0.6875,0.9375,271.4375,6.125,-173.8125,0
0.97,1.09,-9.75,-0.5,0.6875,-0.3125,271.5,5.875,-173.8125,0
1.05,1.08,-9.84,0.0625,-0.0625,0.125,271.4375,6.125,-173.9375,0
1.02,1.03,-9.74,-0.0625,0.25,0.0625,271.4375,6.125,-173.9375,0
1.02,1.02,-9.78,-0.0625,-0.375,-0.0625,271.4375,6.125,-173.9375,0
1.02,1.03,-9.81,0,-0.1875,0.125,271.4375,6.125,-173.9375,0
1.02,1.01,-9.74,-0.0625,-0.1875,-0.125,271.4375,6.125,-173.9375,0
1.03,1.04,-9.76,0,0,0.0625,271.4375,6.125,-173.9375,0
1.01,1.02,-9.85,0.0625,-0.0625,-0.125,271.4375,6.125,-173.9375,0
1.01,1.03,-9.75,0,-0.0625,0.0625,271.4375,6.125,-173.9375,0
1.01,1.02,-9.78,-0.1875,0,0.125,271.4375,6.125,-173.9375,0
1,1.03,-9.72,0.125,0.0625,-0.125,271.4375,6.125,-173.9375,0
1.01,1.02,-9.74,-0.0625,-0.0625,0,271.4375,6.125,-173.9375,0
1,1.03,-9.78,0,-0.0625,0,271.4375,6.125,-173.9375,0
1,1.04,-9.73,0.125,0.0625,0,271.4375,6.125,-173.9375,0
0.99,1.02,-9.73,0,-0.125,0,271.4375,6.125,-173.9375,0
1.01,1,-9.76,0.125,0,-0.125,271.4375,6.125,-173.9375,0
1.01,1.05,-9.76,-0.0625,0.0625,-0.1875,271.4375,6.125,-173.9375,0
1,1.04,-9.73,0,-0.125,0,271.4375,6.125,-173.9375,0
1,1.02,-9.9,-0.0625,-0.0625,0.125,271.4375,6.125,-173.9375,0
