time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
2.2,-1.21,-0.43,-9.84,-0.125,0.0625,-0.0625,320.0625,-7.0625,177.375,-1
2.84,-1.19,-0.41,-9.73,0.1875,0.0625,-0.0625,320.0625,-7.0625,177.375,-1
3.48,-1.17,-0.41,-9.73,-0.125,-0.4375,0.125,320.0625,-7.0625,177.375,-1
4.11,-1.19,-0.41,-9.85,0,-0.0625,0,320.0625,-7.0625,177.375,-1
4.75,-1.17,-0.42,-9.73,-0.1875,0.0625,0.125,320.0625,-7.0625,177.375,-1
5.39,-1.19,-0.43,-9.72,-0.0625,-0.0625,-0.0625,320.0625,-7.0625,177.375,-1
6.03,-1.2,-0.42,-9.79,-0.0625,0,-0.0625,320.0625,-7.0625,177.375,-1
6.66,-1.19,-0.43,-9.71,-0.0625,-0.125,-0.0625,320.0625,-7.0625,177.375,-1
7.3,-1.17,-0.41,-9.7,-0.125,-0.0625,0.0625,320.0625,-7.0625,177.375,-1
7.93,-1.2,-0.42,-9.8,-0.3125,0.125,-0.0625,320.0625,-7,177.375,-1
8.57,-1.18,-0.42,-9.77,0.125,0.3125,-0.1875,320.0625,-7,177.375,-1
9.21,-1.2,-0.41,-9.72,-0.1875,0,0.0625,320.0625,-7,177.375,-1
9.84,-1.18,-0.42,-9.81,0.125,0.0625,-0.125,320.0625,-7,177.375,-1
10.48,-1.18,-0.41,-9.71,0.0625,-0.0625,0,320.0625,-7,177.375,-1
11.12,-1.33,-0.41,-9.65,1.5,-1.375,0.125,320.0625,-7.6875,177.25,-1
11.76,-1.37,-0.47,-9.71,-1.0625,0.9375,0,320.0625,-7.75,176.875,-1
12.4,-1.36,-0.29,-9.44,-0.0625,0.0625,-0.4375,320.25,-7.6875,177.75,-1
13.03,-1.49,-0.22,-9.35,-3.6875,-5.1875,0.375,320.25,-8.75,179.125,-1
13.68,-1.66,0.08,-9.45,6.6875,0.6875,1.9375,320.1875,-10.0625,179.5,-1
14.32,-1.64,-0.41,-9.46,3.5,3.0625,1.75,319.75,-10.5625,179.9375,-1
14.95,-1.57,0.08,-9.56,0.125,-1.3125,-0.75,320.125,-9.4375,179.0625,-1
