time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,mic,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,ground
1544000913.728619,1.13,0.84,9.16,2.5625,16.8125,-8.8125,359.1875,6.9375,-2.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1544000914.360398,0.49,0.63,9.61,0.0,1.0,-0.5,359.9375,5.1875,-2.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1544000914.9947362,0.05,-1.1,8.8,2.25,-3.75,3.8125,359.9375,0.6875,-0.3125,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1544000915.6377366,-0.18,-0.08,9.83,8.0625,1.8125,-1.9375,357.8125,3.5,-1.625,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,right
1544000916.2724369,-1.08,0.03,9.39,0.75,-6.75,0.5625,357.3125,-5.125,-0.3125,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,12.0,0.0,right
1544000916.9120677,-1.13,-0.29,9.01,-17.5,13.3125,1.625,357.875,-6.6875,1.5625,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1544000917.550195,-0.81,0.15,11.38,3.25,9.0,6.375,355.1875,-7.375,-0.9375,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,73.0,0.0,right
1544000918.1934006,-1.35,0.28,9.31,-0.25,0.9375,-0.8125,355.375,-6.9375,-1.625,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,61.0,0.0,right
1544000918.8318837,-1.06,0.32,9.5,0.0625,-5.8125,-0.1875,355.25,-6.8125,-1.625,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,62.0,0.0,right
1544000919.4715009,-1.21,0.26,9.31,0.3125,-1.8125,-0.0625,355.25,-6.375,-1.5,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,right
1544000920.1098862,-1.3,0.24,9.29,-0.0625,0.25,0.4375,355.25,-6.75,-1.8125,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,57.0,0.0,right
1544000920.749347,-1.18,0.33,9.37,-0.0625,0.625,0.25,355.3125,-7.0,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,41.0,0.0,right
1544000921.3875456,-1.24,0.35,9.34,0.0625,1.8125,0.0,355.3125,-7.0,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,43.0,0.0,right
1544000922.0268667,-1.2,0.33,9.3,0.1875,0.0625,-0.0625,355.3125,-6.9375,-2.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,0.0,right
1544000922.6700304,-1.18,0.33,9.32,-0.125,-0.25,0.0625,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,0.0,right
1544000923.308694,-1.18,0.36,9.29,-0.125,-0.125,-0.0625,355.3125,-6.9375,-2.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,right
1544000923.9479654,-1.17,0.36,9.33,0.125,-0.0625,0.0,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,right
1544000924.5900903,-1.2,0.33,9.3,0.0625,-0.0625,0.0625,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,right
1544000925.2300348,-1.2,0.34,9.3,-0.0625,0.375,-0.0625,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,0.0,right
1544000925.8683689,-1.2,0.35,9.29,-0.0625,-0.0625,0.0625,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,0.0,right
1544000926.508242,-1.2,0.37,9.31,-0.1875,-0.3125,0.0625,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,39.0,0.0,right
1544000927.1465058,-1.18,0.34,9.31,0.0,0.1875,0.0,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,right
1544000927.7849038,-1.2,0.36,9.32,0.0,0.125,0.0,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,right
1544000928.4248226,-1.19,0.33,9.26,-0.125,0.0,0.0,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,right
1544000929.066748,-1.2,0.34,9.3,0.125,-0.1875,-0.0625,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,right
1544000929.7024264,-1.2,0.33,9.3,0.0,0.0,0.0,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,right
1544000930.34445,-1.2,0.34,9.31,0.0625,0.0,0.0,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,right
1544000930.984234,-1.18,0.34,9.31,-0.0625,0.0,0.125,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,right
1544000931.623014,-1.2,0.34,9.29,0.0,-0.0625,0.0625,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,31.0,0.0,right
1544000932.2625756,-1.19,0.34,9.3,0.125,-0.25,0.0625,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,right
1544000932.9012141,-1.22,0.35,9.3,0.0625,-0.125,-0.0625,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,right
1544000933.54409,-1.2,0.35,9.32,0.125,0.0,-0.0625,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,right
1544000934.1789396,-1.19,0.34,9.32,0.0,0.0,0.0,355.3125,-6.9375,-2.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,right
1544000934.8184566,-1.19,0.33,9.27,0.0,0.1875,0.125,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,right
1544000935.4602735,-1.19,0.36,9.28,0.0,0.0625,0.0,355.3125,-6.9375,-2.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,right
1544000936.100527,-1.2,0.33,9.3,0.125,0.1875,-0.0625,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,right
1544000936.738723,-1.21,0.33,9.29,0.0,-0.0625,-0.125,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,right
1544000937.3817012,-1.2,0.36,9.29,-0.0625,-0.1875,-0.0625,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,right
1544000938.023815,-1.2,0.33,9.31,-0.0625,-0.125,0.125,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,right
1544000938.6633854,-1.2,0.38,9.28,0.0,0.0625,0.125,355.3125,-6.9375,-2.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,right
1544000939.3069766,-1.2,0.34,9.3,0.0625,-0.125,0.0,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,right
1544000939.9453347,-1.2,0.33,9.3,-0.0625,0.125,0.0,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,right
1544000940.5884752,-1.21,0.34,9.33,0.0625,-0.1875,0.125,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,right
1544000941.2266116,-1.2,0.33,9.32,0.0,-0.25,-0.0625,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,right
1544000941.8667371,-1.19,0.35,9.32,-0.0625,0.25,-0.125,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,right
1544000942.5047183,-1.22,0.35,9.29,0.125,-0.125,0.1875,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,right
1544000943.1477313,-1.22,0.35,9.31,-0.0625,-0.1875,-0.0625,355.3125,-6.9375,-2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,right
1544000952.4203537,-1.07,-0.56,9.5,-0.125,0.375,0.0,353.9375,-6.9375,3.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,4.0,0.0,0.0,back
1544000953.0598893,-1.12,-0.47,9.28,-0.4375,-0.3125,0.0,354.0,-6.8125,2.6875,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,back
1544000953.698111,-1.16,-0.47,9.33,-0.0625,1.1875,0.0,354.0,-6.8125,2.6875,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,back
