time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,mic,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,ground
1544000391.0255876,0.49,0.33,9.18,-0.375,2.8125,0.0,359.4375,-0.4375,-1.6875,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1544000391.6603475,-1.27,0.3,9.44,0.25,1.4375,-0.5625,359.4375,-6.3125,-1.75,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right
1544000392.3074486,-0.87,-0.15,9.35,-8.0625,5.25,0.1875,359.75,-6.5625,0.625,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,4.0,0.0,right
1544000392.9460385,-0.9,-0.15,10.33,0.5625,-5.6875,1.875,359.75,-7.0,1.6875,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,4.0,0.0,right
1544000393.5844755,-1.16,-0.21,9.21,0.5,-2.8125,0.6875,359.75,-6.8125,1.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,236.0,0.0,4.0,0.0,right
1544000394.2241488,-1.1,-0.28,9.32,-0.3125,-0.3125,-0.1875,359.75,-6.375,1.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,right
1544000394.862682,-1.04,-0.25,9.29,-0.8125,0.0,0.0,359.75,-6.25,1.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,7.0,9.0,0.0,right
1544000395.5009089,-1.03,-0.26,9.33,0.0625,0.0625,0.0625,359.75,-6.25,1.5625,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,7.0,0.0,right
1544000396.1407037,-1.06,-0.23,9.35,0.0,0.0625,0.0,359.75,-6.25,1.5625,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,7.0,0.0,right
1544000396.779251,-1.03,-0.25,9.36,0.0,-0.125,0.0,359.75,-6.25,1.5625,0.06,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,4.0,0.0,right
